;Proband;Block;Task;Trial;Date_Hold;Date_Start;Date_Terminated;Duration;Num_Layers;MappingMethod;Target_Layer
137209;3;1;13;4;2021-05-11T14:49:13.957Z;2021-05-11T14:49:01.324Z;2021-05-11T14:49:13.979Z;0.022000000000000002;21; direct;11
137912;3;1;14;0;2021-05-11T14:49:48.148Z;2021-05-11T14:49:22.094Z;2021-05-11T14:49:48.562Z;0.41400000000000003;21; direct;16
138365;3;1;14;1;2021-05-11T14:50:07.706Z;2021-05-11T14:49:51.370Z;2021-05-11T14:50:08.010Z;0.304;21; direct;5
139117;3;1;14;4;2021-05-11T14:50:46.561Z;2021-05-11T14:50:40.089Z;2021-05-11T14:50:47.014Z;0.453;21; direct;20
139554;3;1;15;1;2021-05-11T14:51:18.923Z;2021-05-11T14:51:10.356Z;2021-05-11T14:51:19.215Z;0.29200000000000004;12; direct;9
139925;3;1;15;3;2021-05-11T14:51:38.945Z;2021-05-11T14:51:34.712Z;2021-05-11T14:51:39.030Z;0.085;12; direct;11
140317;3;1;15;4;2021-05-11T14:51:54.891Z;2021-05-11T14:51:41.504Z;2021-05-11T14:51:55.962Z;1.0710000000000002;12; direct;6
140511;3;1;16;0;2021-05-11T14:52:09.918Z;2021-05-11T14:52:03.097Z;2021-05-11T14:52:10.319Z;0.401;9; direct;5
140667;3;1;16;1;2021-05-11T14:52:20.691Z;2021-05-11T14:52:15.393Z;2021-05-11T14:52:21.210Z;0.519;9; direct;7
143116;3;1;17;2;2021-05-11T14:54:12.575Z;2021-05-11T14:53:28.376Z;2021-05-11T14:54:12.826Z;0.251;18; direct;17
143333;3;1;17;3;2021-05-11T14:54:22.794Z;2021-05-11T14:54:14.657Z;2021-05-11T14:54:22.841Z;0.047;18; direct;9
143841;3;1;17;4;2021-05-11T14:54:45.488Z;2021-05-11T14:54:26.521Z;2021-05-11T14:54:45.501Z;0.013000000000000001;18; direct;14
145150;3;1;18;4;2021-05-11T14:55:50.535Z;2021-05-11T14:55:33.503Z;2021-05-11T14:55:50.868Z;0.333;18; direct;17
145559;3;2;1;1;2021-05-11T15:00:36.931Z;2021-05-11T15:00:31.763Z;2021-05-11T15:00:37.815Z;0.884;12; densening;11
145873;3;2;1;3;2021-05-11T15:00:58.952Z;2021-05-11T15:00:54.911Z;2021-05-11T15:00:59.070Z;0.11800000000000001;12; densening;3
146059;3;2;1;4;2021-05-11T15:01:08.089Z;2021-05-11T15:01:01.292Z;2021-05-11T15:01:08.094Z;0.005;12; densening;9
146219;3;2;2;0;2021-05-11T15:01:20.015Z;2021-05-11T15:01:14.325Z;2021-05-11T15:01:20.118Z;0.10300000000000001;21; densening;11
146334;3;2;2;1;2021-05-11T15:01:29.778Z;2021-05-11T15:01:25.589Z;2021-05-11T15:01:29.790Z;0.012;21; densening;20
