;Proband__;Trial__;Duration_ densening_6;Duration_ densening_9;Duration_ densening_12;Duration_ densening_15;Duration_ densening_18;Duration_ densening_21;Duration_ direct_6;Duration_ direct_9;Duration_ direct_12;Duration_ direct_15;Duration_ direct_18;Duration_ direct_21;Duration_ widening_6;Duration_ widening_9;Duration_ widening_12;Duration_ widening_15;Duration_ widening_18;Duration_ widening_21
40;9;0;7.010333333333333;14.763333333333334;8.057666666666668;12.87;7.161666666666666;11.829999999999998;8.821666666666667;5.665333333333333;8.723;8.512333333333332;8.956999999999999;9.388666666666667;7.69;7.608666666666667;12.727666666666666;8.812666666666667;8.157333333333334;12.369
41;9;1;8.504666666666667;11.68;7.399333333333334;10.687333333333333;10.133666666666667;9.704666666666666;5.742333333333334;6.368666666666667;9.035666666666666;20.563666666666666;11.692333333333332;9.143666666666666;6.806333333333334;9.122333333333332;10.568333333333333;18.703333333333333;18.973333333333333;11.391333333333334
42;9;2;6.658666666666666;6.680666666666667;8.881333333333332;9.513666666666667;12.275666666666666;10.488333333333333;5.600333333333334;6.195666666666667;7.359333333333333;6.519000000000001;7.964333333333333;8.250666666666666;6.178666666666667;6.241666666666667;9.134;11.219000000000001;13.777000000000001;12.404666666666666
43;9;3;11.482;12.395333333333333;9.148333333333333;21.780333333333335;19.887666666666668;13.746;5.207666666666667;6.491666666666667;7.8053333333333335;8.316666666666668;8.718666666666666;9.353666666666667;6.478333333333333;6.925333333333334;7.905;10.441333333333333;18.548666666666666;13.362666666666668
44;9;4;8.862333333333334;7.488666666666667;7.688666666666666;9.502;8.113666666666667;7.2669999999999995;6.928999999999999;8.008666666666667;8.009333333333332;12.456666666666669;10.810666666666668;8.380333333333333;6.340333333333334;6.672666666666667;7.388000000000001;9.360666666666667;8.186666666666667;11.987333333333332
45;10;0;3.651666666666666;7.900333333333333;5.016;7.906;9.715;18.303333333333335;3.6643333333333334;91.36333333333333;4.548333333333333;7.106999999999999;11.795666666666667;7.321000000000001;5.060333333333333;3.6976666666666667;6.824333333333333;4.004333333333333;21.75333333333333;51.16533333333333
46;10;1;6.545999999999999;4.258333333333334;8.703000000000001;7.797999999999999;8.295333333333334;10.889333333333333;4.850333333333333;7.490333333333333;8.143333333333333;5.059;10.051666666666668;13.225;6.917666666666666;7.669666666666667;11.163666666666666;7.0023333333333335;7.727999999999999;7.956
47;10;2;3.763666666666667;6.097;8.689333333333334;9.607000000000001;8.429666666666668;14.662666666666667;4.2283333333333335;5.479666666666667;4.103666666666666;5.227;7.907666666666667;10.853333333333333;11.306666666666667;4.852333333333333;7.915666666666667;5.421333333333333;9.077666666666666;7.427333333333333
48;10;3;5.210333333333334;5.505333333333333;10.134666666666668;11.835999999999999;8.765666666666666;10.693666666666667;5.588;3.720666666666667;6.690666666666666;5.0776666666666666;6.236666666666667;10.616666666666667;3.5400000000000005;4.514666666666667;8.781666666666666;6.131;4.931;5.074666666666666
49;10;4;5.241;4.830666666666667;5.4750000000000005;7.9206666666666665;9.146333333333333;9.753;4.950333333333333;5.866333333333333;4.749;8.095666666666666;19.745;13.351666666666667;4.586666666666667;6.653666666666666;5.056;10.167;5.062;8.241999999999999
