;;;;;Result;Result;Result;Result;Result;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_Total;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_BeforeHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_AfterHold;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_lower;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_deeper;Peaks_between;Peaks_between;Peaks_between;Peaks_between;Peaks_between;TargetLayer;TargetLayer;TargetLayer;TargetLayer;TargetLayer;rate_before;rate_after;rate_lower;rate_deeper;rate_between;rate_sum
Trial;;;;;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4;;;;;;
Proband;Block;Task;MappingMethod;NumLayers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;10; direct;21; COMPLETED; TERMINATED; COMPLETED; TERMINATED; TERMINATED;4;2;3;1;8;3;2;3;1;8;1;0;0;0;0;4;1;3;1;5;0;1;0;0;3;0;0;0;0;0;11;1;16;20;5;3.4;0.2;2.8;0.8;0.0;3.6
2;1;11; direct;9; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;0;3;4;2;1;0;3;4;2;1;0;0;0;0;0;0;1;2;2;1;0;2;0;0;0;0;0;2;0;0;8;1;2;5;7;2.0;0.0;1.2;0.4;0.4;2.0
2;1;12; direct;18; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;3;2;1;1;2;3;2;1;1;2;0;0;0;0;0;3;1;1;1;1;0;1;0;0;0;0;0;0;0;1;9;1;17;14;5;1.8;0.0;1.4;0.2;0.2;1.8
2;1;13; direct;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; FAILED;2;2;2;2;0;2;2;2;2;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;3;11;9;6;1;1.6;0.0;1.6;0.0;0.0;1.6
2;1;14; direct;12; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;4;2;8;5;3;4;2;8;5;3;0;0;0;0;0;4;1;8;1;3;0;0;0;4;0;0;1;0;0;0;6;3;11;1;9;4.4;0.0;3.4;0.8;0.2;4.4
2;1;15; direct;21; COMPLETED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;3;4;3;5;6;3;4;3;5;6;0;0;0;0;0;3;1;3;5;6;0;3;0;0;0;0;0;0;0;0;5;1;20;16;11;4.2;0.0;3.6;0.6;0.0;4.2
2;1;16; direct;18; TERMINATED; COMPLETED; COMPLETED; COMPLETED; COMPLETED;6;2;1;2;4;6;2;1;2;4;0;0;0;0;0;5;2;1;2;4;0;0;0;0;0;1;0;0;0;0;1;9;5;17;14;3.0;0.0;2.8;0.0;0.2;3.0
2;1;17; direct;18; TERMINATED; TERMINATED; COMPLETED; COMPLETED; COMPLETED;3;4;1;5;3;3;4;1;5;3;0;0;0;0;0;3;1;1;5;3;0;3;0;0;0;0;0;0;0;0;17;5;1;9;14;3.2;0.0;2.6;0.6;0.0;3.2
2;1;18; direct;6; COMPLETED; COMPLETED; COMPLETED; TERMINATED; COMPLETED;1;1;3;2;2;1;1;3;2;2;0;0;0;0;0;1;1;1;2;2;0;0;0;0;0;0;0;2;0;0;3;2;1;5;4;1.8;0.0;1.4;0.0;0.4;1.8
2;2;1; widening;6; COMPLETED; COMPLETED; TERMINATED; TERMINATED; COMPLETED;0;2;2;3;3;0;2;2;3;3;0;0;0;0;0;0;2;2;3;1;0;0;0;0;2;0;0;0;0;0;3;2;4;5;1;2.0;0.0;1.6;0.4;0.0;2.0
