;Proband;Block;Task;Trial;MappingMethod;NumLayers;Target;Target_Relative;Result;Result_Numeric
360;1;2;1;0; widening;6;3;0.5; COMPLETED;1
361;1;2;1;1; widening;6;2;0.3333333333333333; COMPLETED;1
362;1;2;1;2; widening;6;4;0.6666666666666666; TERMINATED;0
363;1;2;1;3; widening;6;5;0.8333333333333334; TERMINATED;0
364;1;2;1;4; widening;6;1;0.16666666666666666; COMPLETED;1
365;1;2;2;0; widening;21;11;0.5238095238095238; COMPLETED;1
366;1;2;2;1; widening;21;1;0.047619047619047616; FAILED;0
367;1;2;2;2; widening;21;5;0.23809523809523808; COMPLETED;1
368;1;2;2;3; widening;21;20;0.9523809523809523; COMPLETED;1
369;1;2;2;4; widening;21;16;0.7619047619047619; COMPLETED;1
370;1;2;3;0; widening;15;14;0.9333333333333333; COMPLETED;1
371;1;2;3;1; widening;15;11;0.7333333333333333; TERMINATED;0
372;1;2;3;2; widening;15;1;0.06666666666666667; FAILED;0
373;1;2;3;3; widening;15;4;0.26666666666666666; COMPLETED;1
374;1;2;3;4; widening;15;8;0.5333333333333333; COMPLETED;1
375;1;2;4;0; widening;12;11;0.9166666666666666; COMPLETED;1
376;1;2;4;1; widening;12;6;0.5; COMPLETED;1
377;1;2;4;2; widening;12;1;0.08333333333333333; FAILED;0
378;1;2;4;3; widening;12;9;0.75; COMPLETED;1
379;1;2;4;4; widening;12;3;0.25; COMPLETED;1
380;1;2;5;0; widening;12;9;0.75; COMPLETED;1
381;1;2;5;1; widening;12;3;0.25; COMPLETED;1
382;1;2;5;2; widening;12;11;0.9166666666666666; COMPLETED;1
383;1;2;5;3; widening;12;6;0.5; COMPLETED;1
384;1;2;5;4; widening;12;1;0.08333333333333333; TERMINATED;0
385;1;2;6;0; widening;6;3;0.5; COMPLETED;1
386;1;2;6;1; widening;6;2;0.3333333333333333; COMPLETED;1
387;1;2;6;2; widening;6;1;0.16666666666666666; COMPLETED;1
388;1;2;6;3; widening;6;4;0.6666666666666666; COMPLETED;1
389;1;2;6;4; widening;6;5;0.8333333333333334; COMPLETED;1
390;1;2;7;0; widening;18;1;0.05555555555555555; FAILED;0
391;1;2;7;1; widening;18;17;0.9444444444444444; COMPLETED;1
392;1;2;7;2; widening;18;14;0.7777777777777778; COMPLETED;1
393;1;2;7;3; widening;18;9;0.5; COMPLETED;1
394;1;2;7;4; widening;18;5;0.2777777777777778; TERMINATED;0
395;1;2;8;0; widening;18;9;0.5; COMPLETED;1
396;1;2;8;1; widening;18;5;0.2777777777777778; COMPLETED;1
397;1;2;8;2; widening;18;17;0.9444444444444444; COMPLETED;1
398;1;2;8;3; widening;18;14;0.7777777777777778; COMPLETED;1
399;1;2;8;4; widening;18;1;0.05555555555555555; FAILED;0
400;1;2;9;0; widening;21;16;0.7619047619047619; COMPLETED;1
401;1;2;9;1; widening;21;5;0.23809523809523808; FAILED;0
