;Proband;Block;Task;Trial;MappingMethod;NumLayers;Target;Target_Relative;Duration
415;1;2;12;0; densening;21;5;0.23809523809523808;10.416
416;1;2;12;1; densening;21;11;0.5238095238095238;12.85
417;1;2;12;2; densening;21;1;0.047619047619047616;4.747
418;1;2;12;3; densening;21;20;0.9523809523809523;12.521
419;1;2;12;4; densening;21;16;0.7619047619047619;10.608
420;1;2;13;0; densening;9;1;0.1111111111111111;6.942
421;1;2;13;1; densening;9;5;0.5555555555555556;3.536
422;1;2;13;2; densening;9;7;0.7777777777777778;3.839
423;1;2;13;3; densening;9;2;0.2222222222222222;4.35
424;1;2;13;4; densening;9;8;0.8888888888888888;4.372
425;1;2;14;0; densening;12;9;0.75;9.205
426;1;2;14;1; densening;12;3;0.25;3.563
427;1;2;14;2; densening;12;6;0.5;4.622
428;1;2;14;3; densening;12;11;0.9166666666666666;8.081
429;1;2;14;4; densening;12;1;0.08333333333333333;6.773
430;1;2;15;0; densening;6;4;0.6666666666666666;10.615
431;1;2;15;1; densening;6;2;0.3333333333333333;5.486
432;1;2;15;2; densening;6;5;0.8333333333333334;5.413
433;1;2;15;3; densening;6;3;0.5;3.655
434;1;2;15;4; densening;6;1;0.16666666666666666;5.599
435;1;2;16;0; densening;9;7;0.7777777777777778;7.825
436;1;2;16;1; densening;9;8;0.8888888888888888;6.03
437;1;2;16;2; densening;9;1;0.1111111111111111;6.227
438;1;2;16;3; densening;9;2;0.2222222222222222;5.525
439;1;2;16;4; densening;9;5;0.5555555555555556;3.871
440;1;2;17;0; densening;12;3;0.25;13.801
441;1;2;17;1; densening;12;6;0.5;8.829
442;1;2;17;2; densening;12;11;0.9166666666666666;13.508
443;1;2;17;3; densening;12;1;0.08333333333333333;7.171
444;1;2;17;4; densening;12;9;0.75;10.052
445;1;2;18;0; densening;21;11;0.5238095238095238;8.692
446;1;2;18;1; densening;21;5;0.23809523809523808;7.178
447;1;2;18;2; densening;21;1;0.047619047619047616;4.579
448;1;2;18;3; densening;21;16;0.7619047619047619;17.627
449;1;2;18;4; densening;21;20;0.9523809523809523;13.048
450;1;3;1;0; direct;6;4;0.6666666666666666;152.173
451;1;3;1;1; direct;6;5;0.8333333333333334;6.005
452;1;3;1;2; direct;6;1;0.16666666666666666;5.802
453;1;3;1;3; direct;6;2;0.3333333333333333;5.009
454;1;3;1;4; direct;6;3;0.5;4.415
455;1;3;2;0; direct;9;8;0.8888888888888888;12.914
456;1;3;2;1; direct;9;1;0.1111111111111111;5.438
457;1;3;2;2; direct;9;2;0.2222222222222222;7.087
458;1;3;2;3; direct;9;7;0.7777777777777778;8.496
459;1;3;2;4; direct;9;5;0.5555555555555556;7.762
460;1;3;3;0; direct;12;9;0.75;8.74
461;1;3;3;1; direct;12;1;0.08333333333333333;6.012
462;1;3;3;2; direct;12;11;0.9166666666666666;10.567
463;1;3;3;3; direct;12;3;0.25;5.302
464;1;3;3;4; direct;12;6;0.5;8.05
465;1;3;4;0; direct;15;11;0.7333333333333333;14.984
466;1;3;4;1; direct;15;1;0.06666666666666667;9.148
467;1;3;4;2; direct;15;8;0.5333333333333333;13.363
468;1;3;4;3; direct;15;4;0.26666666666666666;6.743
469;1;3;4;4; direct;15;14;0.9333333333333333;12.713
470;1;3;5;0; direct;21;11;0.5238095238095238;11.206
